nid,aid
2011,29323
2012,7534
236,45770
2013,11472
2014,23919
2015,29190
2016,48783
2017,23890
2018,14356
2019,11393
2020,5158
2021,7660
2022,22969
2023,58406
2024,45594
2025,17901
2026,42613
2027,11393
2028,40711
2029,35161
2030,43163
2031,17901
2032,35161
2033,58324
2034,23890
2035,17
2036,166
2037,17901
2038,62867
2039,23890
2040,17901
2041,35161
2042,17901
2043,32287
2044,15
2045,23890
2046,5140
2047,45594
2048,23890
2049,17
2050,23890
2051,35161
2052,29190
2053,35161
2054,11501
2055,48783
2056,17
2057,7534
2058,43163
2059,17
2060,17
2061,35648
2062,54531
2063,48783
2064,54531
2065,35161
2066,43303
2067,17
2068,11393
2069,11393
2070,58324
2071,22918
2072,43163
2073,32287
2074,35161
2075,23890
2076,29190
2077,17
2078,20118
2079,54531
2080,42613
2081,48886
2082,7534
2083,43163
2084,17
2085,54531
2086,7534
2087,17
2088,43163
2089,11393
2090,23890
2091,11393
2092,23890
2093,32287
2094,23890
2095,17901
2096,11393
2097,62867
2098,17
2099,17
2100,56977
2101,17901
2102,14356
2103,35161
2104,35161
2105,35161
2106,54531
2107,54531
2108,45594
2109,17901
2110,35255
2111,35161
2112,48783
2113,35161
2114,23890
2115,45594
2116,43330
2117,23890
2118,45594
2119,35161
2120,45594
2121,58324
2122,17
2123,45594
2124,42613
2125,54531
2126,45594
2127,11393
2128,5140
2129,35161
2130,23890
2131,35161
2132,35161
2133,45594
2134,11393
2135,45594
2136,23890
2137,48783
2138,7534
2139,23890
2140,35161
2141,7534
2142,17901
2143,43163
2144,43163
2145,57212
2146,23890
2147,45594
2148,35316
2149,23890
2150,24366
2151,16482
2152,17901
2153,42653
2154,17
2155,20118
2156,48783
2157,23890
2158,48783
2159,45594
2160,58324
2161,24087
2162,17915
2163,48783
2164,11393
2165,17
2166,45594
2167,35161
2168,23890
2169,22903
2170,5140
2171,48783
2172,7534
2173,17901
2174,35161
2175,48783
2176,14356
2177,35161
2178,60624
2179,48783
2180,16482
2181,23890
2182,11393
2183,45594
2184,7534
2185,35161
2186,54531
2187,29190
2188,43163
2189,7534
2190,23890
2191,7534
2192,43163
2193,11393
2194,57212
2195,48783
2196,45779
2197,40711
2198,57212
2199,23890
2200,23890
2201,45594
2202,11393
2203,58324
2204,7534
2205,17
2206,17
2207,23890
2208,60624
2209,14356
2210,23890
2211,11393
2212,60624
2213,17
2214,20152
2215,7534
2216,35161
2217,57212
2218,23890
2219,45594
2220,60624
2221,45885
2222,57212
2223,17
2224,45594
2225,60624
2226,11574
2227,60658
2228,22903
2229,24259
2230,5235
2231,58490
2232,17
2233,14457
2234,56977
2235,24087
2236,29190
2237,29203
2238,48963
2239,23890
2240,17
2241,40711
2242,32389
2243,58324
2244,17
2245,5140
2246,40711
2247,18012
2248,24287
2249,17
2250,14356
2251,58324
2252,58364
2253,23890
2254,23890
2255,23890
2256,60624
2257,32287
2258,43163
2259,11393
2260,48783
2261,35161
2262,23890
2263,17901
2264,32303
2265,17
2266,23890
2267,43198
2268,29190
2269,24253
2270,57212
2271,20301
2272,16482
2273,48783
2274,57223
2275,22903
2276,23890
2277,60624
2278,14356
2279,32287
2280,11393
2281,45770
2282,23890
2283,5140
2284,48783
2285,35161
2286,56977
2287,5140
2288,48783
2289,48783
2290,23890
2291,11393
2292,45594
2293,23890
2294,29190
2295,24199
2296,57241
2297,48783
2298,11393
2299,43163
2300,29190
2301,60624
2302,7534
2303,57212
