nid,aid
1643,52265
1644,2114
1645,17824
1646,24616
1647,26778
1648,81034
1649,11350
1650,29191
1651,29533
1652,38431
1653,41193
1654,41800
1655,43636
1656,47920
1657,52672
1658,58518
1659,60049
1660,68662
1661,71647
1662,72753
1663,82435
1664,86051
1665,23515
1666,29176
1667,36080
1668,54167
1669,57570
1670,72753
1671,75378
1672,80117
1673,81212
1674,82513
1675,2765
1676,19218
1677,28853
1678,29182
1679,40082
1680,41912
1681,49724
1682,59206
1683,78013
1684,78453
1685,22995
1686,23110
1687,27488
1688,61801
1689,67338
1690,70313
1691,73672
1692,74689
1693,82304
1694,86407
1695,2765
1696,51460
1697,66889
1698,82124
1699,6954
1700,9327
1701,11347
1702,23131
1703,40564
1704,40793
1705,56704
1706,68691
1707,4566
1708,6359
1709,8314
1710,37569
1711,37836
1712,41203
1713,42306
1714,60444
1715,67073
1716,72905
1717,78593
1718,79028
1719,79643
1720,80145
1721,82414
1722,732
1723,22251
1724,42236
1725,918
1726,1686
1727,12118
1728,13745
1729,15476
1730,18215
1731,59934
1732,20516
1733,24485
1734,24500
1735,24592
1736,25704
1737,27062
1738,29778
1739,33322
1740,63069
1741,66002
1742,68213
1743,72880
1744,84259
1745,1588
1746,87277
1747,10921
1748,16819
993,60762
1749,10622
1750,11848
1751,14717
1752,21140
1753,24482
1754,29216
1755,29353
1756,30041
1757,37207
1758,46225
1759,48666
1760,48666
1761,54016
1762,65692
1763,66786
1764,81972
1765,81981
1766,99
1767,4220
1768,4324
1769,4715
1770,4976
1771,5213
1772,5737
1773,7053
1774,7435
1775,7885
1776,8588
1777,8735
1778,9161
1779,10407
1780,12235
1781,13520
1782,14664
1783,60066
1784,86938
1785,17236
1786,18147
1787,18196
1788,19613
1789,20333
1790,21449
1791,22616
1792,23448
1793,26368
1794,27826
1795,28329
1796,28336
1797,28395
1798,28507
1799,28622
1800,28751
1801,27268
1802,29769
1803,30794
1804,31797
1805,31990
1806,32233
1807,32274
1808,32314
1809,32839
1810,33826
1811,35764
1812,36495
1813,37515
1814,38370
1815,41683
1816,41857
1817,44460
1818,44483
1819,46445
1820,47950
1821,48000
1822,48380
1823,49336
1824,50863
1825,51363
1826,53411
1827,53862
1828,54186
1829,55389
1830,57683
1831,16086
1832,60066
1833,60265
1834,60423
1835,60792
1836,60942
1837,61060
1838,61573
1839,63009
1840,63217
1841,64342
1842,3087
1843,66486
1844,66490
1845,67539
1846,68206
1847,68883
1848,69815
1849,70109
1850,70216
1851,71819
1852,71994
1853,72108
1854,73608
1855,73634
1856,74784
1857,79221
1858,81583
1859,82315
1860,84566
1861,86328
1862,7538
1863,18694
1864,23030
1865,26471
1866,34524
1867,35743
1868,37651
1869,40832
1870,41602
1871,43666
1872,50853
1873,64648
1874,65830
1875,4706
1876,4830
1877,11080
1878,12926
1879,13832
1880,18688
1881,20175
1882,20192
1883,20588
1884,21259
1885,22589
1886,29795
1887,33910
1888,44457
1889,46905
1890,48823
1891,87378
1892,52644
1893,53105
1894,54488
1895,55197
1896,55379
1897,58684
1898,58882
1899,59472
1900,60294
1901,66083
1902,66305
1903,67548
1904,67945
1905,74123
1906,74541
1907,76249
1908,76770
1909,77401
1910,77437
1911,78791
1912,80045
1913,82910
1914,83306
1915,2619
1916,14438
1917,24140
1918,65183
1919,39859
1920,50919
1921,57921
1922,65529
1923,72861
1924,79434
1925,81728
1926,12572
1927,14128
1928,24652
1929,42678
1930,45168
1931,46552
1932,82440
1933,85625
1934,13810
1935,13810
1936,13810
1937,13848
1938,14128
1939,19949
1940,30526
1941,34683
1942,34855
1943,38197
1944,44612
1945,46552
1946,47835
1947,60397
1948,71235
1949,71428
1950,79658
1951,82989
1952,3819
1953,75667
1954,658
1955,5050
1956,13489
1957,20891
1958,21360
1959,28551
1960,31082
1961,34599
1962,38122
1963,78354
1964,57404
1965,58133
1966,58176
